"Имя","Категория","Количество","Материал","Материал.Имя","Материал.Плотность","Материал.Теплопроводность","Материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Полная масса","Полная площадь","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Тип объекта","Толщина слоя","Уникальный идентификатор","Уровень","Чистая масса","Чистая площадь","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"Слой 1 - Бетон: 250,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","4664.7393573","250.0000000","8046.6753914","","13.9942181","13.9942181","13.9942181","3.4985545","Слой","250.0000000","d060da07-6f10-807d-24d7-1793f20a9f28","1","6344.9130102","","11.0347179","12.0186515","0.9283153","11.0346022","2.7586578"
"Слой 1 - Бетон: 250,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","3610.6119907","250.0000000","6228.3056839","","10.8318360","10.8318360","10.8318360","2.7079590","Слой","250.0000000","0f2f5a03-8e6f-8676-1fef-c601c521194e","1","5813.0853050","","10.1097136","10.1097136","0.9026530","10.1097136","2.5274284"
"Слой 1 - Бетон: 250,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","4514.1159359","250.0000000","7786.8499895","","13.5423478","13.5423478","13.5423478","3.3855870","Слой","250.0000000","1099756c-b6a9-81c5-2192-314e2ab4a55e","1","6293.3362631","","10.8752733","11.0145920","0.9160290","10.9449326","2.7362332"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","2038.6857866","200.0000000","2813.3863855","","6.1160574","6.1160574","6.1160574","1.2232115","Слой","200.0000000","e0622dec-db67-8c68-1d2c-0232dda34de4","1","2625.8272931","","5.9888333","5.4278071","0.4077372","5.7083202","1.1416640"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","1435.3168403","200.0000000","1980.7372396","","4.3059505","4.3059505","4.3059505","0.8611901","Слой","200.0000000","adf1747d-331f-8f8a-0ce1-11b966cd371c","1","1047.1380903","","2.5569002","1.9958741","0.1170634","2.2763872","0.4552774"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","7173.9795848","200.0000000","10038.0918270","","21.8219388","21.8219388","21.8219388","4.3643878","Слой","200.0000000","b1ca034e-b79a-8c71-3838-c8ff784a693b","1","8438.5357052","","18.3446428","18.3446428","1.2647959","18.3446428","3.6689286"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","8118.2034308","200.0000000","11203.1207344","","24.3546103","24.3546103","24.3546103","4.8709221","Слой","200.0000000","278da2b8-5328-8352-351e-629604b2911c","1","10456.2460188","","22.7309696","22.7309696","1.6236407","22.7309696","4.5461939"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14387.3890718","200.0000000","19854.5969191","","43.1621672","43.1621672","43.1621672","8.6324334","Слой","200.0000000","aa0fa55d-f3cd-8dc8-20a8-ef873f994b87","1","15318.7301285","","33.8615872","34.4215872","2.2420777","33.3015872","6.6603174"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","3093.6412441","200.0000000","4269.2249169","","9.2809237","9.2809237","9.2809237","1.8561847","Слой","200.0000000","50584f7a-64ff-8d3b-365b-38ae4accccb5","1","3984.6099224","","8.6621955","8.6621955","0.6187282","8.6621955","1.7324391"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","4626.1795336","200.0000000","6384.1277563","","13.8785386","13.8785386","13.8785386","2.7757077","Слой","200.0000000","8a32ba95-580c-8127-01fa-188b3be93d9d","1","5156.9692392","","11.2108027","11.2108027","0.7552359","11.2108027","2.2421605"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","5045.4724345","450.0000000","15666.1919092","","15.1364173","15.1364173","15.1364173","6.8113878","Слой","450.0000000","d7051186-195b-8ed5-1465-b7207c0d21e9","1","14621.7791153","","14.1273228","14.1273228","2.2704626","14.1273228","6.3572953"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","1064.6363294","200.0000000","1469.1981346","","3.1939090","3.1939090","3.1939090","0.6387818","Слой","200.0000000","feda7256-1586-87e8-0cbf-c6a1bd43e447","1","475.9269696","","1.7209817","1.5700680","0.1639017","1.0209817","0.2069248"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","8414.7698388","450.0000000","26127.8603494","","25.2443095","25.2443095","25.2443095","11.3599393","Слой","450.0000000","a2729653-0195-8a8f-0462-f6bc38fd1629","1","23806.4029928","","24.2613555","24.2613555","3.6966464","23.0013555","10.3506100"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","5587.4874041","200.0000000","7710.7326176","","16.7624622","16.7624622","16.7624622","3.3524924","Слой","200.0000000","ad205bbd-e16e-8e18-2fad-c9e0a505b24c","1","6395.1337764","","13.9024647","13.9024647","0.9474975","13.9024647","2.7804929"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","3360.7018157","200.0000000","2318.8842528","","5.0410527","5.0410527","5.0410527","1.0082105","Слой","200.0000000","61333a1f-6d65-8737-3eb1-f57e550eb391","1","1570.1132920","","3.6732898","3.4132898","0.0000000","3.4132898","0.6826580"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","58866.1802122","450.0000000","182779.4895587","","176.5985406","176.5985406","176.5985406","79.4693433","Слой","450.0000000","99fda2a1-3ddf-878e-162d-89cf07f39a4f","2","142468.2691120","","140.2985406","128.6150553","26.4897811","140.2985406","61.9427257"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14784.1455457","450.0000000","45904.7719193","","44.3524366","44.3524366","44.3524366","19.9585965","Слой","450.0000000","a90aa908-bd49-89a3-3f6b-53a28a596873","2","42923.9719193","","42.1474366","40.7974366","6.6528655","41.4724366","18.6625965"
