"Внутренняя площадь внутренней поверхности","Высота арки двери","Высота двери","Высота трапеции двери","Габаритная высота","Габаритная ширина","Глубина расположения двери","Имя","Имя родительского объекта","Категория","Количество","Марка","Марка родительского объекта","Наружная площадь внутренней поверхности","Ориентация заполнения двери","Относительная высота верха объекта","Относительная высота низа объекта","Периметр","Площадь","Площадь внутренней поверхности","Площадь остекления","Расположение дверного проёма","Смещение по вертикали","Смещение родительского объекта по вертикали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Стиль двери","Стиль двери.Высота фрамуги","Стиль двери.Глубина коробки","Стиль двери.Глубина наличника","Стиль двери.Глубина полотна","Стиль двери.Имя","Стиль двери.Коробка","Стиль двери.Материал","Стиль двери.Материал.Имя","Стиль двери.Материал.Плотность","Стиль двери.Материал.Теплопроводность","Стиль двери.Материал.Уникальный идентификатор","Стиль двери.Наличники","Стиль двери.Порог","Стиль двери.Смещение полотна","Стиль двери.Тип фрамуги","Стиль двери.Толщина импоста","Стиль двери.Толщина коробки","Стиль двери.Толщина порога","Стиль двери.Уникальный идентификатор","Стиль двери.Ширина наличника","Тип объекта","Уникальный идентификатор","Уникальный идентификатор категории","Уникальный идентификатор родительского объекта","Уровень","Форма проёма двери","Ширина двери"
"2.7625000","","2050.0000000","","2050.0000000","1200.0000000","0.0000000","Дверь - My: 1 200,00 мм x 2 050,00 мм","","Дверь","1","","","0.1625000","Левая","2114.5740254","64.5740254","6500.0000000","2.4600000","2.9250000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","f66fe036-5826-4f2b-ba8a-65186db033f8","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1200.0000000"
"0.8925000","","2050.0000000","","2050.0000000","1000.0000000","0.0000000","Дверь - My: 1 000,00 мм x 2 050,00 мм","","Дверь","1","","","0.1275000","Правая","2050.0000000","0.0000000","6100.0000000","2.0500000","1.0200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","12debbd1-d851-4c5d-bebe-488e33bcf66f","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1000.0000000"
"0.8925000","","2050.0000000","","2050.0000000","1000.0000000","0.0000000","Дверь - My: 1 000,00 мм x 2 050,00 мм","","Дверь","1","","","0.1275000","Левая","2050.0000000","0.0000000","6100.0000000","2.0500000","1.0200000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","f53d00cb-460b-4c53-9874-6e382c342991","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","1000.0000000"
"0.2475000","","1300.0000000","","1300.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 300,00 мм","","Дверь","1","","","0.0825000","Правая","1300.0000000","0.0000000","4000.0000000","0.9100000","0.3300000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","821d8094-2f10-475c-a2bf-e67ef547d657","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.2475000","","1300.0000000","","1300.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 300,00 мм","","Дверь","1","","","0.0825000","Правая","1300.0000000","0.0000000","4000.0000000","0.9100000","0.3300000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","219c1054-0cd6-4185-bbe9-7852374776c4","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.2475000","","1300.0000000","","1300.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 300,00 мм","","Дверь","1","","","0.0825000","Правая","1300.0000000","0.0000000","4000.0000000","0.9100000","0.3300000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","a3b47d06-8488-4d06-a560-de1609db24e1","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.5950000","","1000.0000000","","1000.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 000,00 мм","","Дверь","1","","","0.0850000","Правая","2561.0950147","1561.0950147","3400.0000000","0.7000000","0.6800000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","d6c204e1-d242-4f42-b68e-eb4566688953","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.4725000","","1000.0000000","","1000.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 000,00 мм","","Дверь","1","","","0.0675000","Правая","2500.0000000","1500.0000000","3400.0000000","0.7000000","0.5400000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","e564c70a-d7fc-476e-add2-9d4618140ce8","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"","","2050.0000000","","2050.0000000","1200.0000000","","Дверь - (нет): 1 200,00 мм x 2 050,00 мм","","Проём","1","","","","","5060.6129332","3010.6129332","6500.0000000","2.4600000","1.0600000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","(нет)","","","","50.0000000","(нет)","Нет","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","Нет","Нет","0.0000000","(нет)","","","","e38e5b25-6707-46a0-a6d7-08010c8a9f6c","","Дверь","e55367e8-f7a3-4a76-b9ad-129ad29cbe68","5a4a5eb1-14df-4a2a-8f83-231e31fc41b5","","1","Прямоугольный проём","1200.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Левая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","020b8f14-400d-4d2e-bec1-742624cd361b","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
