"Имя","Имя уровня","Количество","Относительная высота уровня","Раздел","Раздел.Имя","Раздел.Количество чертежей","Раздел.Уникальный идентификатор","Тип объекта","Уникальный идентификатор"
"±0,000 - 1","1","1","0.0000000","","","","","Уровень","cb46953d-ef56-408c-835c-7e27d49639dc"
"+3,011 - 2","2","1","3010.6129332","","","","","Уровень","05253727-68de-4cbc-b089-e9baabe85513"
