"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение вентиляционного оборудования относительно оси","Смещение вентиляционного оборудования по вертикали","Смещение вентиляционного оборудования по горизонтали","Смещение по вертикали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль вентиляционного оборудования","Стиль вентиляционного оборудования.Имя","Стиль вентиляционного оборудования.Категория","Стиль вентиляционного оборудования.Материал","Стиль вентиляционного оборудования.Материал.Имя","Стиль вентиляционного оборудования.Материал.Плотность","Стиль вентиляционного оборудования.Материал.Теплопроводность","Стиль вентиляционного оборудования.Материал.Уникальный идентификатор","Стиль вентиляционного оборудования.Уникальный идентификатор","Стиль вентиляционного оборудования.Уникальный идентификатор категории","Тип объекта","Угол нутации","Угол прецессии","Угол собственного вращения","Уникальный идентификатор","Уникальный идентификатор категории","Уровень","Стиль вентиляционного оборудования.Единица измерения","Стиль вентиляционного оборудования.Код продукции","Стиль вентиляционного оборудования.Масса","Стиль вентиляционного оборудования.Наименование","Стиль вентиляционного оборудования.Обозначение","Стиль вентиляционного оборудования.Поставщик"
"Вентилятор - Вентилятор радиальный №5","Вентилятор","Прочие воздуховодные системы","1","","1090.0000000","1010.0000000","1698.0000000","7030.6129332","5940.6129332","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор радиальный №5","Вентилятор радиальный №5","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","085cc440-b90b-4661-bffb-11a8cfc6e4dd","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","12940193-47e3-4345-b11f-5d2d3664be91","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентиляционная установка - Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка","","1","","280.0000000","840.0000000","750.0000000","6220.6129332","5940.6129332","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка приточно-вытяжная горизонтальная","Вентиляционная установка","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","01924944-eb27-48df-bd14-978f772396ab","61e8c8f0-73b5-46a7-8859-7482152d5c4a","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","72a3d8f0-4289-444f-bc6b-be2cb2b0bd64","61e8c8f0-73b5-46a7-8859-7482152d5c4a","1","","","","","",""
"Зонт - Зонт 400x600","Зонт","Приточная вентиляция","1","","402.0000000","1080.0000000","720.0000000","7585.6556108","7183.6556108","По центру","0.0000000","0.0000000","0.0000000","","","","","","","Зонт 400x600","Зонт 400x600","Зонт","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","76f79277-592d-4036-9610-616913d194b6","3f645375-7a31-4220-9bc7-da8315b87e06","Вентиляционное оборудование","0.0000000","0.0000000","0.0000000","1dcacbe2-b808-4fa6-bf90-b79db215c03d","3f645375-7a31-4220-9bc7-da8315b87e06","1","","","","","",""
"Вентилятор - Вентилятор радиальный №5","Вентилятор","Прочие воздуховодные системы","1","","1090.0000000","1010.0000000","1698.0000000","7030.6129332","5940.6129332","Вверху по центру","0.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор радиальный №5","Вентилятор радиальный №5","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","085cc440-b90b-4661-bffb-11a8cfc6e4dd","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","30098780-d931-40b0-b1fe-6a6f1c49e542","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентиляционная установка - Вентиляционная установка приточно-вытяжная вертикальная","Вентиляционная установка","","1","","880.0000000","598.0000000","841.0000000","5718.6824210","4838.6824210","По центру","-350.0000000","0.0000000","-70.0000000","","","","","","","Вентиляционная установка приточно-вытяжная вертикальная","Вентиляционная установка приточно-вытяжная вертикальная","Вентиляционная установка","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","572e4c6d-87ff-4616-89bb-50ca32e4fa68","61e8c8f0-73b5-46a7-8859-7482152d5c4a","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","e6a95a64-3b98-4500-accb-a39959219e4b","61e8c8f0-73b5-46a7-8859-7482152d5c4a","1","","","","","",""
"Вентилятор - Вентилятор крышный малой высоты","Вентилятор","Вытяжное дымоудаление","1","","250.0000000","370.0000000","370.0000000","5690.6615905","5440.6615905","Вверху справа","-350.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор крышный малой высоты","Вентилятор крышный малой высоты","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","92f020c8-47e1-4c06-b944-4d096b635314","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","f42b81a5-4079-4009-8a6c-b9244e815e03","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентилятор - Вентилятор крышный малой высоты","Вентилятор","Вытяжное дымоудаление","1","","250.0000000","370.0000000","370.0000000","5721.7278899","5471.7278899","Вверху справа","-350.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор крышный малой высоты","Вентилятор крышный малой высоты","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","92f020c8-47e1-4c06-b944-4d096b635314","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","1fcb42b6-7b6f-47f3-8106-e3bbfd8f43f6","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентилятор - Вентилятор крышный малой высоты","Вентилятор","Вытяжное дымоудаление","1","","250.0000000","370.0000000","370.0000000","5721.0286436","5471.0286436","Вверху справа","-350.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор крышный малой высоты","Вентилятор крышный малой высоты","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","92f020c8-47e1-4c06-b944-4d096b635314","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","a88ea89d-36e2-4577-8e7d-91959731e817","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Вентилятор - Вентилятор крышный малой высоты","Вентилятор","Вытяжное дымоудаление","1","","250.0000000","370.0000000","370.0000000","5693.4586496","5443.4586496","Вверху справа","-350.0000000","0.0000000","-70.0000000","","","","","","","Вентилятор крышный малой высоты","Вентилятор крышный малой высоты","Вентилятор","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","92f020c8-47e1-4c06-b944-4d096b635314","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","Вентиляционное оборудование","0.0000000","180.0000000","0.0000000","1d8a68e0-5370-4796-88e8-dd8f60417692","6d7b9c7d-30e7-45d1-9c26-72d2dc7ed013","1","","","","","",""
"Воздухораспределитель - Диффузор D200","Воздухораспределитель","Прочие воздуховодные системы","1","","76.0000000","258.0000000","258.0000000","8792.9987251","8716.9987251","По центру","0.0000000","0.0000000","-70.0000000","","","","","","","Диффузор D200","Диффузор D200","Воздухораспределитель","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","78e783df-7405-4629-ac78-81f7d3e3be1b","e63fd703-aeed-4ada-bfdc-a574e59ebd5f","Вентиляционное оборудование","0.0000000","0.0000000","0.0000000","7dc833e0-4a5d-40b6-a3cc-d77f27d99692","e63fd703-aeed-4ada-bfdc-a574e59ebd5f","1","","","","","",""
"Воздухораспределитель - Диффузор D200","Воздухораспределитель","Прочие воздуховодные системы","1","","76.0000000","258.0000000","258.0000000","5816.6129332","5740.6129332","По центру","0.0000000","0.0000000","-70.0000000","","","","","","","Диффузор D200","Диффузор D200","Воздухораспределитель","Алюминий","Алюминий","2800.0000000","160.0000000","ad9f83bd-0db5-4dd3-bd9a-c6d37dc2c9e8","78e783df-7405-4629-ac78-81f7d3e3be1b","e63fd703-aeed-4ada-bfdc-a574e59ebd5f","Вентиляционное оборудование","0.0000000","0.0000000","0.0000000","4c18fc5a-0d5a-4611-b4a7-26f138e639fa","e63fd703-aeed-4ada-bfdc-a574e59ebd5f","1","","","","","",""
