"Имя","Номер","Ориентация листа","Раздел","Раздел.Имя","Раздел.Количество чертежей","Раздел.Уникальный идентификатор","Стиль оформления","Стиль оформления.Имя","Стиль оформления.Уникальный идентификатор","Уникальный идентификатор","Формат листа","Формат листа.Высота","Формат листа.Имя","Формат листа.Имя листа","Формат листа.Уникальный идентификатор","Формат листа.Ширина"
"1","1","Альбомная","","","","","","","","0d644fbe-de06-4fee-9466-392fb903983d","A3(420 x 297)","297.0000000","A3","A3(420 x 297)","232d37df-ef50-4610-8cf2-e22225581266","420.0000000"
"2","2","Альбомная","","","","","","","","ab2d2c10-46ba-463a-b8d0-4784f7ea2bf9","A3(420 x 297)","297.0000000","A3","A3(420 x 297)","232d37df-ef50-4610-8cf2-e22225581266","420.0000000"
