"Имя","Раздел","Раздел.Имя","Раздел.Количество чертежей","Раздел.Уникальный идентификатор","Уникальный идентификатор"
"Ведомость ссылочных и прилагаемых документов","","","","","f60a7bf2-4df5-4e9c-8933-57cdcfa1ceda"
"Ведомость спецификаций","","","","","589c7889-d381-477c-9c58-e84519648552"
"Ведомость основных комплектов","","","","","6b0c7162-f072-41f6-9e7d-c5deabda966b"
"Ведомость рабочих чертежей","","","","","6c1658c1-3314-42db-922b-d836c56cbd95"
"Групповая спецификация","","","","","a611e502-d616-4a94-a147-de52f370d6f7"
"Спецификация","","","","","04563499-a97a-4acc-ab0c-8ab29be92235"
