"Глубина проёма","Имя","Имя родительского объекта","Количество","Марка","Марка родительского объекта","Номинальная толщина","Объём","Относительная высота верха объекта","Относительная высота низа объекта","Периметр","Площадь","Площадь внутренней поверхности","Смещение по вертикали","Смещение родительского объекта по вертикали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Тип объекта","Уникальный идентификатор","Уникальный идентификатор родительского объекта","Уровень"
"500.0000000","Проём: 500,00 мм","","1","","","500.0000000","0.8552825","2999.8783054","2499.8783054","9357.8967597","4.3860641","1.8247899","-17.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Проём","ff72e4a4-980a-4226-b834-dc6b4e9ffef6","","1"
"500.0000000","Проём: 500,00 мм","","1","","","500.0000000","0.8635933","2999.8783054","2499.8783054","9328.0373463","4.4286835","1.8189673","-17.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Проём","f50eddce-2fff-4b69-a227-65bf754b1df9","","1"
