"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение электроустановочного изделия относительно оси","Смещение электроустановочного изделия по вертикали","Смещение электроустановочного изделия по горизонтали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль электроустановочного изделия","Стиль электроустановочного изделия.Имя","Стиль электроустановочного изделия.Категория","Стиль электроустановочного изделия.Материал","Стиль электроустановочного изделия.Материал.Имя","Стиль электроустановочного изделия.Материал.Плотность","Стиль электроустановочного изделия.Материал.Теплопроводность","Стиль электроустановочного изделия.Материал.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор категории","Тип объекта","Угол поворота электроустановочного изделия","Уникальный идентификатор","Уникальный идентификатор категории","Уровень"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3990.4753909","3930.4753909","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","5961195f-0a93-4623-a33b-667a65b8dab9","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3931.1473023","3871.1473023","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","c914b7b3-62ea-4dad-921f-e60827b27809","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4030.4053669","3970.4053669","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","1fbfae85-5d6b-49cd-a6e5-51e55e600209","1c2bbe00-cc32-4d02-9507-a1be5130b13c","2"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4310.1850107","4250.1850107","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","079b7d91-903a-4136-981c-345090ad3472","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4154.7350013","4094.7350013","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","c0442e2b-663d-4858-b85b-49b1583ceed7","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4093.8047316","4033.8047316","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","4cac1d0e-2f40-4279-8675-0eebfe0834f0","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3992.6525649","3932.6525649","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","89691d92-4699-4f25-912b-d6b8296dec09","1c2bbe00-cc32-4d02-9507-a1be5130b13c","2"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3913.5915925","3853.5915925","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","38d985f9-c104-4d68-9659-ac5ee3b82126","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3855.0164169","3795.0164169","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","2dff6f45-acc2-462c-b128-574cd0216d9f","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4082.7475449","4022.7475449","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","d20565bf-2870-4e60-b0c7-6443eb9cdafd","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4157.7164796","4097.7164796","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","5b999853-93f8-4bb1-95b4-7e9131584a1e","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4170.8187578","4110.8187578","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","df19e26e-0d94-40e9-a0b7-1cfe720b836e","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3986.0655962","3926.0655962","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","011a3810-76f2-43d7-8221-f9b01c3bc4e0","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4157.9579469","4097.9579469","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","e22d8ba3-def2-4544-bc8c-979026abb9c2","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4226.7547974","4166.7547974","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","f4a892ef-18e3-4fe5-91dd-8b3a01958ac3","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3792.9418870","3732.9418870","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","c7efcf56-648d-435d-879e-c60db3bc4834","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3792.2934770","3732.2934770","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","94d5fa0c-85d6-4465-8ebe-b379859c9604","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3984.8342293","3924.8342293","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","d29be560-ac5f-446c-a417-2aca9c8d115b","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3835.6382722","3775.6382722","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","f5f6c5a9-014b-4c72-b625-94f0fcacccd6","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3995.2118602","3935.2118602","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","f320425f-b6d5-486d-930b-99e9edf65665","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","4033.3149946","3973.3149946","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","c0d26d70-9f23-4d89-9455-eded29ac0136","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4578.9931396","4498.9931396","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","b42ff250-c9f0-43d1-9bae-5d428c3dba39","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4635.7466568","4555.7466568","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","ea23c969-6002-4f78-80c4-36b7a1d21091","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4538.0098833","4458.0098833","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","8d55d638-a5cb-4965-b7c6-a57ea8308f7d","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4750.6034955","4670.6034955","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","6fef1263-dad1-48fa-ab07-af1733ea6fe0","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4733.3531959","4653.3531959","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","6ee9b809-07ba-441a-90ae-e4e0ccdde5ed","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4720.9607310","4640.9607310","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","a8769aff-011b-4731-a404-8931c81ce12c","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4444.2286842","4364.2286842","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","782d4d24-473a-45a0-916a-e2c1eb10b437","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4668.8318686","4588.8318686","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","b299eed2-a76e-42b1-a85f-021496ca6c84","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4599.2917482","4519.2917482","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","46bb81b1-01b6-4194-ab3e-e363a659d32c","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Извещатель дымовой - Извещатель дымовой ИП 212-45","Извещатель дымовой","Осветительная сеть","1","","56.0000000","93.0000000","93.0000000","5810.6129332","5754.6129332","По центру","0.0000000","0.0000000","","","","","","","Извещатель дымовой ИП 212-45","Извещатель дымовой ИП 212-45","Извещатель дымовой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","9a7da2dc-34b7-47e0-a185-d8ac14c0f72b","b0dfdd30-e400-4b03-b572-18647b2f4bc8","Электроустановочное изделие","0.0000000","380cfea0-13e6-40f4-91b5-2d99a7fd28a5","b0dfdd30-e400-4b03-b572-18647b2f4bc8","2"
"Извещатель дымовой - Извещатель дымовой ИП 212-45","Извещатель дымовой","Осветительная сеть","1","","56.0000000","93.0000000","93.0000000","5810.6129332","5754.6129332","По центру","0.0000000","0.0000000","","","","","","","Извещатель дымовой ИП 212-45","Извещатель дымовой ИП 212-45","Извещатель дымовой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","9a7da2dc-34b7-47e0-a185-d8ac14c0f72b","b0dfdd30-e400-4b03-b572-18647b2f4bc8","Электроустановочное изделие","0.0000000","8d930bbf-95c7-4417-96e3-d63f6f89a5b9","b0dfdd30-e400-4b03-b572-18647b2f4bc8","2"
