"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение электроустановочного изделия относительно оси","Смещение электроустановочного изделия по вертикали","Смещение электроустановочного изделия по горизонтали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль электроустановочного изделия","Стиль электроустановочного изделия.Имя","Стиль электроустановочного изделия.Категория","Стиль электроустановочного изделия.Материал","Стиль электроустановочного изделия.Материал.Имя","Стиль электроустановочного изделия.Материал.Плотность","Стиль электроустановочного изделия.Материал.Теплопроводность","Стиль электроустановочного изделия.Материал.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор категории","Тип объекта","Угол поворота электроустановочного изделия","Уникальный идентификатор","Уникальный идентификатор категории","Уровень"
"Источник питания - Источник питания ИВЭПР 12/5","Источник питания","Силовая сеть","1","","86.0000000","194.0000000","334.0000000","3085.8783054","2999.8783054","По центру","0.0000000","0.0000000","","","","","","","Источник питания ИВЭПР 12/5","Источник питания ИВЭПР 12/5","Источник питания","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","2c8de435-aa2b-4066-8f45-48db1f7a8979","e36337c7-131b-499a-a11c-54541e64c754","Электроустановочное изделие","0.0000000","2f2ba8d3-aab3-4556-99ef-8162ff0052ca","e36337c7-131b-499a-a11c-54541e64c754","2"
"Извещатель дымовой - Извещатель дымовой ИП 212-45","Извещатель дымовой","Осветительная сеть","1","","56.0000000","93.0000000","93.0000000","5810.6129332","5754.6129332","По центру","0.0000000","0.0000000","","","","","","","Извещатель дымовой ИП 212-45","Извещатель дымовой ИП 212-45","Извещатель дымовой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","9a7da2dc-34b7-47e0-a185-d8ac14c0f72b","b0dfdd30-e400-4b03-b572-18647b2f4bc8","Электроустановочное изделие","0.0000000","58620bf5-91d8-4514-96ea-b5afcb362d09","b0dfdd30-e400-4b03-b572-18647b2f4bc8","2"
"Извещатель дымовой - Извещатель дымовой ИП 212-45","Извещатель дымовой","Осветительная сеть","1","","56.0000000","93.0000000","93.0000000","5810.6129332","5754.6129332","По центру","0.0000000","0.0000000","","","","","","","Извещатель дымовой ИП 212-45","Извещатель дымовой ИП 212-45","Извещатель дымовой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","9a7da2dc-34b7-47e0-a185-d8ac14c0f72b","b0dfdd30-e400-4b03-b572-18647b2f4bc8","Электроустановочное изделие","0.0000000","d75fc2d8-d525-4100-b147-68f889db649c","b0dfdd30-e400-4b03-b572-18647b2f4bc8","2"
"Извещатель дымовой - Извещатель дымовой ИП 212-45","Извещатель дымовой","Осветительная сеть","1","","56.0000000","93.0000000","93.0000000","5810.6129332","5754.6129332","По центру","0.0000000","0.0000000","","","","","","","Извещатель дымовой ИП 212-45","Извещатель дымовой ИП 212-45","Извещатель дымовой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","9a7da2dc-34b7-47e0-a185-d8ac14c0f72b","b0dfdd30-e400-4b03-b572-18647b2f4bc8","Электроустановочное изделие","0.0000000","fb3d7d40-b989-424c-adf0-083e3cb7b691","b0dfdd30-e400-4b03-b572-18647b2f4bc8","2"
"Извещатель дымовой - Извещатель дымовой ИП 212-45","Извещатель дымовой","Осветительная сеть","1","","56.0000000","93.0000000","93.0000000","5810.6129332","5754.6129332","По центру","0.0000000","0.0000000","","","","","","","Извещатель дымовой ИП 212-45","Извещатель дымовой ИП 212-45","Извещатель дымовой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","9a7da2dc-34b7-47e0-a185-d8ac14c0f72b","b0dfdd30-e400-4b03-b572-18647b2f4bc8","Электроустановочное изделие","0.0000000","20769980-5bd5-41f1-a9b0-9598072d345d","b0dfdd30-e400-4b03-b572-18647b2f4bc8","2"
"Извещатель тепловой - Извещатель пожарный тепловой ИП 101-52-PR","Извещатель тепловой","Осветительная сеть","1","","58.0000000","94.0000000","94.0000000","4821.4013182","4727.4013182","По центру","0.0000000","0.0000000","","","","","","","Извещатель пожарный тепловой ИП 101-52-PR","Извещатель пожарный тепловой ИП 101-52-PR","Извещатель тепловой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","d017277b-a7ba-4ae3-9788-5dccd7370ab7","d6d4f810-a4e1-4c31-8cf2-c460f7e45711","Электроустановочное изделие","0.0000000","a5051f6c-8d3e-49dd-8a22-cda0bd6fe745","d6d4f810-a4e1-4c31-8cf2-c460f7e45711","1"
"Извещатель тепловой - Извещатель пожарный тепловой ИП 101-52-PR","Извещатель тепловой","Осветительная сеть","1","","58.0000000","94.0000000","94.0000000","4432.3536565","4338.3536565","По центру","0.0000000","0.0000000","","","","","","","Извещатель пожарный тепловой ИП 101-52-PR","Извещатель пожарный тепловой ИП 101-52-PR","Извещатель тепловой","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","d017277b-a7ba-4ae3-9788-5dccd7370ab7","d6d4f810-a4e1-4c31-8cf2-c460f7e45711","Электроустановочное изделие","0.0000000","fe1a7195-9bc8-48f0-b8c8-af6f57d5bdae","d6d4f810-a4e1-4c31-8cf2-c460f7e45711","1"
"Извещатель пламени - Извещатель пламени Спектрон-201","Извещатель пламени","Осветительная сеть","1","","118.1397275","94.1025404","70.0000000","3985.7105213","3891.6079809","По центру","0.0000000","0.0000000","","","","","","","Извещатель пламени Спектрон-201","Извещатель пламени Спектрон-201","Извещатель пламени","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","f23b3133-64a1-4628-a0ed-3653516f7406","d033e332-98a2-49de-88d7-103b4d773a03","Электроустановочное изделие","0.0000000","714b5fa2-c5a4-44d5-9aec-62fec3b8d8df","d033e332-98a2-49de-88d7-103b4d773a03","1"
"Извещатель пламени - Извещатель пламени Спектрон-201","Извещатель пламени","Осветительная сеть","1","","118.1397275","94.1025404","70.0000000","5214.1268043","5120.0242640","По центру","0.0000000","0.0000000","","","","","","","Извещатель пламени Спектрон-201","Извещатель пламени Спектрон-201","Извещатель пламени","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","f23b3133-64a1-4628-a0ed-3653516f7406","d033e332-98a2-49de-88d7-103b4d773a03","Электроустановочное изделие","0.0000000","39ac5502-313d-4623-ab56-a80028055215","d033e332-98a2-49de-88d7-103b4d773a03","1"
"Извещатель пламени - Извещатель пламени Спектрон-201","Извещатель пламени","Осветительная сеть","1","","118.1397275","94.1025404","70.0000000","4800.1407321","4706.0381917","По центру","0.0000000","0.0000000","","","","","","","Извещатель пламени Спектрон-201","Извещатель пламени Спектрон-201","Извещатель пламени","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","f23b3133-64a1-4628-a0ed-3653516f7406","d033e332-98a2-49de-88d7-103b4d773a03","Электроустановочное изделие","0.0000000","91181ea6-f57e-4b56-a1ec-b1843c1b6bfb","d033e332-98a2-49de-88d7-103b4d773a03","1"
